lambda,cycles_per_day,mean_run_min,on_fraction,kWh,kWh_thermal,SPF,cost_eur,avg_price,market_mean,shift_pct,hours_below,room_min_C,tank_swing_K,tank_min_C,tank_max_C
0,22.6,41.1033237366198,0.643752679450871,290.69184445531,770.222385297009,2.64961814370895,113.314479112027,0.38980962580616,0.397334112681913,1.89374298243974,1.15277777777778,18.8986485674298,19.184867933137,27.7386269115356,46.9234948446725
0.2,20.8,47.2064211201052,0.680452917046561,289.594536858225,769.944346834014,2.65869776131499,112.766063353224,0.389392923556531,0.397334112681913,1.9986175039894,1.91666666666667,18.8429349526062,19.1780609904127,27.7386269115356,46.9166879019483
1,13.2,96.4972735572035,0.882719342311218,281.559320889403,766.520098540382,2.7224106668501,109.30907581787,0.388227516221376,0.397334112681913,2.2919241439074,4.86111111111111,18.7772118401105,17.73483363783,27.7386269115356,45.4734605493656
3,18.6,65.4194793732344,0.843244848469965,274.02504262383,744.230239836733,2.71592053306741,106.982928029969,0.390412960091499,0.397334112681913,1.74189740309432,21.6944444444444,18.532786045767,16.7120961538375,27.6128263248087,44.3249224786462
10,28.4,39.9994322050181,0.787237612351014,272.630018633066,735.673641482889,2.69843227525519,106.172096582583,0.389436559902379,0.397334112681913,1.98763522372333,55.2083333333333,18.3802897339415,17.7582216223151,26.7652802581711,44.5235018804862
